iter	Logloss
0	0.6799115219
1	0.6697928339
2	0.6612585113
3	0.6537042184
4	0.6477900192
5	0.6413865056
6	0.6361903865
7	0.6318955109
8	0.6260095604
9	0.6209505089
10	0.6173742325
11	0.6131210818
12	0.6097882716
13	0.6070711498
14	0.6039929142
15	0.6013753582
16	0.5993442629
17	0.5965430194
18	0.5948152285
19	0.5923082017
20	0.5897917181
21	0.5868239594
22	0.5848731169
23	0.5834794536
24	0.581893431
25	0.58072806
26	0.5790695783
27	0.5781405155
28	0.5764513971
29	0.5751314796
30	0.5739766915
31	0.5726159758
32	0.5713347025
33	0.5690873678
34	0.5673919868
35	0.5657711223
36	0.5645941263
37	0.5633959025
38	0.5614634386
39	0.5597898398
40	0.5584216163
41	0.5568532546
42	0.5553892975
43	0.5538881679
44	0.5527993424
45	0.5516474241
46	0.5499717471
47	0.5489923958
48	0.548012616
49	0.5470187358
50	0.546090501
51	0.5447134987
52	0.5434319479
53	0.5422184988
54	0.5414432371
55	0.5401957494
56	0.5388176465
57	0.5374157388
58	0.5367156182
59	0.5355773379
60	0.5342211587
61	0.5331338607
62	0.5321852969
63	0.5307971364
64	0.5298477509
65	0.5289453988
66	0.528026154
67	0.5272330186
68	0.5263815589
69	0.5254340663
70	0.5245711327
71	0.5235603998
72	0.522737761
73	0.5215747716
74	0.5206552828
75	0.519878268
76	0.518642494
77	0.5177648479
78	0.5168270803
79	0.5154752645
80	0.5145915685
81	0.5138092234
82	0.5127895152
83	0.5118950284
84	0.5110506793
85	0.5099013275
86	0.5089803291
87	0.5081727949
88	0.5072941376
89	0.5061381044
90	0.5051555097
91	0.5044283609
92	0.5033836413
93	0.5024549335
94	0.5014927164
95	0.5005103225
96	0.4989917486
97	0.4975439449
98	0.4966015277
99	0.4955157879
