iter	Passed	Remaining
0	277	27514
1	327	16049
2	372	12033
3	418	10035
4	460	8749
5	503	7882
6	562	7473
7	628	7223
8	728	7362
9	792	7135
10	847	6853
11	924	6776
12	987	6608
13	1029	6326
14	1078	6111
15	1122	5893
16	1167	5701
17	1216	5541
18	1261	5378
19	1309	5236
20	1355	5098
21	1401	4969
22	1447	4846
23	1489	4715
24	1535	4605
25	1578	4492
26	1622	4388
27	1676	4311
28	1722	4216
29	1763	4113
30	1805	4019
31	1852	3936
32	1894	3847
33	1940	3767
34	1985	3687
35	2030	3609
36	2068	3522
37	2111	3444
38	2158	3376
39	2204	3306
40	2244	3230
41	2285	3155
42	2327	3084
43	2371	3017
44	2410	2946
45	2451	2877
46	2490	2808
47	2536	2747
48	2576	2681
49	2620	2620
50	2665	2560
51	2710	2502
52	2752	2440
53	2792	2378
54	2836	2320
55	2874	2258
56	2913	2197
57	2953	2138
58	3004	2087
59	3048	2032
60	3089	1975
61	3129	1918
62	3175	1864
63	3213	1807
64	3254	1752
65	3295	1697
66	3341	1645
67	3381	1591
68	3420	1536
69	3460	1482
70	3505	1431
71	3545	1378
72	3595	1329
73	3639	1278
74	3682	1227
75	3721	1175
76	3761	1123
77	3801	1072
78	3846	1022
79	3885	971
80	3922	920
81	3968	871
82	4008	820
83	4049	771
84	4087	721
85	4134	672
86	4171	623
87	4209	574
88	4249	525
89	4292	476
90	4334	428
91	4372	380
92	4411	332
93	4451	284
94	4496	236
95	4536	189
96	4575	141
97	4615	94
98	4660	47
99	4700	0
